"citiStationID","subStationID","subStationName","distance"
499,159,"Broadway-7th Ave: 59th St-Columbus Circle",0.00123171243190257
500,158,"Broadway-7th Ave: 50th St",0.0008784579046619
501,265,"Flushing: Grand Central-42nd St",0.0116719891564543
502,354,"Nassau: Essex St",0.00792217837886255
503,318,"Lexington: 23rd St",0.00186432770675538
504,177,"Canarsie: 1st Av",0.00173288982738029
505,124,"Broadway: 34th St",0.000939825957807727
507,319,"Lexington: 28th St",0.00710810550901897
508,56,"8 Avenue: 42nd St",0.0109781838716074
509,54,"8 Avenue: 23rd St",0.00550612589425725
510,23,"6 Avenue: 47-50th Sts Rockefeller Center",0.00236796157383878
511,177,"Canarsie: 1st Av",0.00471035384693153
512,54,"8 Avenue: 23rd St",0.00580583959126102
513,57,"8 Avenue: 50th St",0.00891165041007724
514,55,"8 Avenue: 34th St",0.0152970484943253
515,56,"8 Avenue: 42nd St",0.00567003884737005
516,406,"Queens Boulevard: Lexington Av-53rd St",0.00792822361388801
517,334,"Lexington: Grand Central-42nd St",0.00152028951914218
518,265,"Flushing: Grand Central-42nd St",0.00593595941998615
519,334,"Lexington: Grand Central-42nd St",0.00113036784108544
520,392,"Queens Boulevard: 5th Av-53rd St",0.00181032062711495
521,55,"8 Avenue: 34th St",0.00193792619922561
522,321,"Lexington: 51st St",0.000199909829625255
523,56,"8 Avenue: 42nd St",0.00325684620126054
524,22,"6 Avenue: 42nd St",0.00230900763526876
525,55,"8 Avenue: 34th St",0.0104690149193019
526,320,"Lexington: 33rd St",0.00324583686750657
527,320,"Lexington: 33rd St",0.00740130953961682
528,320,"Lexington: 33rd St",0.00624558291789867
529,56,"8 Avenue: 42nd St",0.00160052929207666
530,159,"Broadway-7th Ave: 59th St-Columbus Circle",0.0104608003709927
531,35,"6 Avenue: Grand St",0.00174201260497142
532,117,"Broadway Jamaica: Marcy Av",0.00404651359678354
533,137,"Broadway: Times Square-42nd St",0.00210260374041837
534,139,"Broadway: Whitehall St",0.000833994283823358
536,320,"Lexington: 33rd St",0.00889320947370464
537,318,"Lexington: 23rd St",0.00356345977275652
538,392,"Queens Boulevard: 5th Av-53rd St",0.0042112843924329
539,182,"Canarsie: Bedford Av",0.00533728055871308
545,177,"Canarsie: 1st Av",0.00694248134681885
546,320,"Lexington: 33rd St",0.00193305164035706
2000,68,"8 Avenue: High St",0.00393980121525317
2001,38,"6 Avenue: York St",0.00948083058582938
2002,182,"Canarsie: Bedford Av",0.00876955556689296
2004,70,"8 Avenue: Spring St",0.0021166575606415
2005,117,"Broadway Jamaica: Marcy Av",0.0191952484289644
2006,26,"6 Avenue: 57th St",0.00225361338401342
2008,330,"Lexington: Bowling Green",0.00335391164053789
2009,353,"Nassau: Chambers St",0.00815230150798385
2010,129,"Broadway: Canal St (UL)",0.00311589768154619
2012,319,"Lexington: 28th St",0.00875569812501453
2017,265,"Flushing: Grand Central-42nd St",0.00610477533093956
2021,56,"8 Avenue: 42nd St",0.00231208498256308
2022,41,"63rd Street: Roosevelt Island",0.00834378561299332
2023,321,"Lexington: 51st St",0.00317592149527002
3002,131,"Broadway: Cortlandt St",0.0061085023655636
